"","sa3","name","earners","age","tot.income","med.income","av.income","sa3_1","State","Capital","origin","destination","dist_num","dist_txt","time_secs","time_mins","time_hours","time_txt","return_stat","status","error_message"
"161",30202,"Chermside",38624,40,2069034946,44698,53568.6346830986,3,"Qld","Brisbane","Chermside QLD 4032, Australia","Brisbane QLD, Australia",12.81,"12.8 km",1104,18.4,0.31,"18 mins","OK","OK",""
"162",30203,"Nundah",20878,38,1061993318,44635,50866.621228087,3,"Qld","Brisbane","Nundah QLD 4012, Australia","Brisbane QLD, Australia",12.94,"12.9 km",1055,17.58,0.29,"18 mins","OK","OK",""
"163",30204,"Sandgate",29670,41,1448609648,43489,48824.0528479946,3,"Qld","Brisbane","Sandgate QLD 4017, Australia","Brisbane QLD, Australia",23.41,"23.4 km",1998,33.3,0.56,"33 mins","OK","OK",""
"164",30301,"Carindale",28555,40,1695828302,46640,59388.1387497811,3,"Qld","Brisbane","Carindale QLD 4152, Australia","Brisbane QLD, Australia",12.74,"12.7 km",1264,21.07,0.35,"21 mins","OK","OK",""
"165",30302,"Holland Park - Yeronga",40335,36,2364674022,45647,58625.8589810338,3,"Qld","Brisbane","Yeronga QLD 4104, Australia","Brisbane QLD, Australia",7.94,"7.9 km",801,13.35,0.22,"13 mins","OK","OK",""
"166",30303,"Mt Gravatt",38642,40,1889209802,39610,48890.0626779152,3,"Qld","Brisbane","Mount Gravatt QLD 4122, Australia","Brisbane QLD, Australia",10.14,"10.1 km",836,13.93,0.23,"14 mins","OK","OK",""
"167",30304,"Nathan",21214,39,1078171079,41274,50823.5636372207,3,"Qld","Brisbane","Nathan QLD 4111, Australia","Brisbane QLD, Australia",12.9,"12.9 km",939,15.65,0.26,"16 mins","OK","OK",""
"168",30305,"Rocklea - Acacia Ridge",30686,38,1455696729,41466,47438.4647396207,3,"Qld","Brisbane","Acacia Ridge QLD 4110, Australia","Brisbane QLD, Australia",16.37,"16.4 km",1474,24.57,0.41,"25 mins","OK","OK",""
"169",30306,"Sunnybank",26833,39,1176302482,35031,43837.9041478776,3,"Qld","Brisbane","Sunnybank QLD 4109, Australia","Brisbane QLD, Australia",14.22,"14.2 km",1050,17.5,0.29,"18 mins","OK","OK",""
"170",30401,"Centenary",19843,43,1179858045,47005,59459.6605855969,3,"Qld","Brisbane","1 Moolanda St, Jindalee QLD 4074, Australia","Brisbane QLD, Australia",14.85,"14.8 km",1322,22.03,0.37,"22 mins","OK","OK",""
"171",30402,"Kenmore - Brookfield - Moggill",26693,45,1961767985,47131,73493.7243846701,3,"Qld","Brisbane","Kenmore QLD 4069, Australia","Brisbane QLD, Australia",14.45,"14.4 km",1318,21.97,0.37,"22 mins","OK","OK",""
"172",30403,"Sherwood - Indooroopilly",27667,38,1938602081,44271,70069.1105287888,3,"Qld","Brisbane","Sherwood QLD 4075, Australia","Brisbane QLD, Australia",11.89,"11.9 km",1381,23.02,0.38,"23 mins","OK","OK",""
"173",30404,"The Gap - Enoggera",28378,41,1625540754,46759,57281.7236591726,3,"Qld","Brisbane","Enoggera QLD 4051, Australia","Brisbane QLD, Australia",9.08,"9.1 km",1156,19.27,0.32,"19 mins","OK","OK",""
"174",30501,"Brisbane Inner",40414,32,2495046261,41026,61737.1767456822,3,"Qld","Brisbane","Inner City Bypass, Queensland, Australia","Brisbane QLD, Australia",8.45,"8.5 km",763,12.72,0.21,"13 mins","OK","OK",""
"175",30502,"Brisbane Inner - East",23832,36,1645595717,50373,69049.837067808,3,"Qld","Brisbane","89 Lytton Rd, East Brisbane QLD 4169, Australia","Brisbane QLD, Australia",4.44,"4.4 km",596,9.93,0.17,"10 mins","OK","OK",""
"176",30503,"Brisbane Inner - North",47469,37,3562214343,50438,75042.9615749226,3,"Qld","Brisbane","North St, Spring Hill QLD 4000, Australia","Brisbane QLD, Australia",1.76,"1.8 km",537,8.95,0.15,"9 mins","OK","OK",""
"177",30504,"Brisbane Inner - West",33745,36,2387115756,48758,70739.8357089939,3,"Qld","Brisbane","29 McDougall St, Milton QLD 4064, Australia","Brisbane QLD, Australia",2.46,"2.5 km",411,6.85,0.11,"7 mins","OK","OK",""
